customer_id,name,project_name,service_type,amount,date
1,Prime Labs,Cybersecurity Audit - Prime Labs,Cybersecurity Audit,35539,2025-12-30
2,Global Solutions,Cybersecurity Audit - Global Solutions,Cybersecurity Audit,28885,2025-12-30
3,Dynamic Innovations,Blockchain POC - Dynamic Innovations,Blockchain POC,25289,2025-12-30
4,Dynamic Labs,AI Implementation - Dynamic Labs,AI Implementation,32329,2025-12-30
5,Elite Consulting,Data Analytics - Elite Consulting,Data Analytics,89020,2025-12-30
6,Global Innovations,Blockchain POC - Global Innovations,Blockchain POC,94294,2025-12-30
7,Prime Enterprises,Blockchain POC - Prime Enterprises,Blockchain POC,94961,2025-12-30
8,Dynamic Digital,Mobile App Dev - Dynamic Digital,Mobile App Dev,57511,2025-12-30
9,NextGen Group,Blockchain POC - NextGen Group,Blockchain POC,35885,2025-12-30
10,Tech Digital,Blockchain POC - Tech Digital,Blockchain POC,46180,2025-12-30
11,Tech Labs,IT Support Retainer - Tech Labs,IT Support Retainer,19758,2025-12-30
12,Elite Consulting,IT Support Retainer - Elite Consulting,IT Support Retainer,19479,2025-12-30
13,Global Soft,Blockchain POC - Global Soft,Blockchain POC,95865,2025-12-30
14,Dynamic Consulting,Blockchain POC - Dynamic Consulting,Blockchain POC,82589,2025-12-30
15,Tech Digital,Blockchain POC - Tech Digital,Blockchain POC,70857,2025-12-30
16,Dynamic Networks,Blockchain POC - Dynamic Networks,Blockchain POC,79932,2025-12-30
17,Global Group,IT Support Retainer - Global Group,IT Support Retainer,12243,2025-12-30
18,Smart Group,Blockchain POC - Smart Group,Blockchain POC,71830,2025-12-30
19,Alpha Enterprises,Cloud Migration - Alpha Enterprises,Cloud Migration,128179,2025-12-30
20,Smart Networks,IT Support Retainer - Smart Networks,IT Support Retainer,8061,2025-12-30
21,Omega Networks,Mobile App Dev - Omega Networks,Mobile App Dev,68513,2025-12-24
22,Prime Soft,IT Support Retainer - Prime Soft,IT Support Retainer,16057,2025-12-24
23,Future Solutions,Blockchain POC - Future Solutions,Blockchain POC,44994,2025-12-26
